epoch,accuracy,loss,val_accuracy,val_loss
0,0.0057142856530845165,4.617588043212891,0.004999999888241291,1123.9197998046875
1,0.0,0.0,0.0,0.0
2,0.004285714123398066,4.611892223358154,0.004999999888241291,1144.7255859375
3,0.0,0.0,0.0,0.0
4,0.004999999888241291,4.611447811126709,0.004999999888241291,1145.366455078125
5,0.0,0.0,0.0,0.0
6,0.004999999888241291,4.610994815826416,0.009999999776482582,1141.57568359375
7,0.0,0.0,0.0,0.0
8,0.002142857061699033,4.610744476318359,0.009999999776482582,1205.8441162109375
9,0.0,0.0,0.0,0.0
10,0.006428571417927742,4.610649585723877,0.009999999776482582,1153.96728515625
11,0.0,0.0,0.0,0.0
12,0.004999999888241291,4.610397815704346,0.0,1178.1962890625
13,0.0,0.0,0.0,0.0
14,0.002142857061699033,4.610320568084717,0.014999999664723873,1158.68603515625
15,0.0,0.0,0.0,0.0
16,0.0057142856530845165,4.610300064086914,0.004999999888241291,1109.4359130859375
17,0.0,0.0,0.0,0.0
18,0.004285714123398066,4.610159397125244,0.014999999664723873,1124.8355712890625
19,0.0,0.0,0.0,0.0
20,0.006428571417927742,4.610074520111084,0.004999999888241291,1106.8277587890625
21,0.0,0.0,0.0,0.0
22,0.004999999888241291,4.6101460456848145,0.009999999776482582,1178.9005126953125
23,0.0,0.0,0.0,0.0
24,0.004285714123398066,4.6100287437438965,0.014999999664723873,1109.473876953125
25,0.0,0.0,0.0,0.0
26,0.0035714285913854837,4.610039234161377,0.009999999776482582,1117.7550048828125
27,0.0,0.0,0.0,0.0
28,0.0028571428265422583,4.610012531280518,0.004999999888241291,1144.06591796875
29,0.0,0.0,0.0,0.0
30,0.0035714285913854837,4.610081672668457,0.014999999664723873,1212.3963623046875
31,0.0,0.0,0.0,0.0
32,0.004999999888241291,4.609921932220459,0.004999999888241291,1117.3369140625
33,0.0,0.0,0.0,0.0
34,0.002142857061699033,4.610023498535156,0.014999999664723873,1135.0679931640625
35,0.0,0.0,0.0,0.0
36,0.0071428571827709675,4.609925746917725,0.014999999664723873,1117.723388671875
37,0.0,0.0,0.0,0.0
38,0.002142857061699033,4.609886169433594,0.014999999664723873,1086.49365234375
39,0.0,0.0,0.0,0.0
40,0.0057142856530845165,4.609990119934082,0.004999999888241291,1194.2022705078125
41,0.0,0.0,0.0,0.0
42,0.004999999888241291,4.609984397888184,0.009999999776482582,1125.794921875
43,0.0,0.0,0.0,0.0
44,0.0035714285913854837,4.60995626449585,0.004999999888241291,1124.530517578125
45,0.0,0.0,0.0,0.0
46,0.0057142856530845165,4.610001564025879,0.019999999552965164,1161.41259765625
47,0.0,0.0,0.0,0.0
48,0.002142857061699033,4.609997272491455,0.009999999776482582,1180.920654296875
49,0.0,0.0,0.0,0.0
50,0.004999999888241291,4.609939098358154,0.014999999664723873,1137.2227783203125
51,0.0,0.0,0.0,0.0
52,0.0014285714132711291,4.609975814819336,0.009999999776482582,1126.2962646484375
53,0.0,0.0,0.0,0.0
54,0.006428571417927742,4.609976768493652,0.004999999888241291,1184.930419921875
55,0.0,0.0,0.0,0.0
56,0.0028571428265422583,4.610018253326416,0.004999999888241291,1136.0513916015625
57,0.0,0.0,0.0,0.0
58,0.004999999888241291,4.609940528869629,0.0,1161.960205078125
59,0.0,0.0,0.0,0.0
60,0.0014285714132711291,4.609946250915527,0.009999999776482582,1166.172607421875
61,0.0,0.0,0.0,0.0
62,0.002142857061699033,4.609908103942871,0.004999999888241291,1118.0692138671875
63,0.0,0.0,0.0,0.0
64,0.0028571428265422583,4.610051155090332,0.004999999888241291,1159.6859130859375
65,0.0,0.0,0.0,0.0
66,0.0007142857066355646,4.610091209411621,0.019999999552965164,1150.30029296875
67,0.0,0.0,0.0,0.0
68,0.0028571428265422583,4.610099792480469,0.004999999888241291,1130.5194091796875
69,0.0,0.0,0.0,0.0
70,0.0035714285913854837,4.609910488128662,0.014999999664723873,1211.7735595703125
71,0.0,0.0,0.0,0.0
72,0.0028571428265422583,4.609999179840088,0.014999999664723873,1133.3134765625
73,0.0,0.0,0.0,0.0
